,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION
392,1629752,Juwan Morgan,Celtics,1610612738,BOS
394,202693,Markieff Morris,Heat,1610612748,MIA
395,1628420,Monte Morris,Nuggets,1610612743,DEN
396,202694,Marcus Morris Sr.,Clippers,1610612746,LAC
398,1628539,Mychal Mulder,Heat,1610612748,MIA
400,1630530,Trey Murphy III,Pelicans,1610612740,NOP
401,1627749,Dejounte Murray,Spurs,1610612759,SAS
402,1627750,Jamal Murray,Nuggets,1610612743,DEN
403,203488,Mike Muscala,Thunder,1610612760,OKC
404,1629004,Svi Mykhailiuk,Raptors,1610612761,TOR
406,1626204,Larry Nance Jr.,Pelicans,1610612740,NOP
407,1630612,RJ Nembhard Jr.,Cavaliers,1610612739,CLE
408,1630174,Aaron Nesmith,Celtics,1610612738,BOS
409,203526,Raul Neto,Wizards,1610612764,WAS
411,1627777,Georges Niang,76ers,1610612755,PHI
412,1630227,Daishen Nix,Rockets,1610612745,HOU
413,1630192,Zeke Nnaji,Nuggets,1610612743,DEN
414,203457,Nerlens Noel,Knicks,1610612752,NYK
415,1629669,Jaylen Nowell,Timberwolves,1610612750,MIN
416,1628373,Frank Ntilikina,Mavericks,1610612742,DAL
417,1629134,Kendrick Nunn,Lakers,1610612747,LAL
418,203994,Jusuf Nurkic,Trail Blazers,1610612757,POR
419,1628021,David Nwaba,Rockets,1610612745,HOU
420,1629670,Jordan Nwora,Bucks,1610612749,MIL
421,1626220,Royce O'Neale,Jazz,1610612762,UTA
423,1629643,Chuma Okeke,Magic,1610612753,ORL
424,1629006,Josh Okogie,Timberwolves,1610612750,MIN
425,1630168,Onyeka Okongwu,Hawks,1610612737,ATL
426,1630171,Isaac Okoro,Cavaliers,1610612739,CLE
428,203506,Victor Oladipo,Heat,1610612748,MIA
